word,num,valence,val.sd,arousal,arousal.sd,dominance,dominance.sd,freq
skull,608,-0.73,1.83,-0.25,1.85,-0.14,1.62,3
sky,572,2.37,1.4,-0.73,2.17,0.16,2,58
skyscraper,573,0.88,1.87,0.71,2.17,-0.67,2.36,2
slap,396,-2.05,1.79,1.46,2.58,-0.79,2.29,2
slaughter,397,-3.36,1.18,1.77,2.42,-1.18,2.75,10
slave,398,-3.16,1.13,1.21,2.93,-1.71,2.76,30
sleep,399,2.2,1.77,-2.2,2.66,0.41,2.41,65
slime,400,-2.32,1.66,0.36,2.63,-0.83,1.82,1
slow,982,-1.07,1.6,-1.61,2.22,-0.65,1.61,60
slum,401,-2.61,1.25,-0.22,2.52,-1.17,2.18,8
slush,983,-0.34,1.88,-1.27,2.23,-0.09,1.48,.
smallpox,402,-2.48,2.08,0.58,2.13,-0.71,2.17,2
smooth,984,1.58,1.78,-0.09,2.57,0.09,2.09,42
snake,609,-1.69,2.2,1.82,2.1,-1.22,2.05,44
snob,403,-1.64,1.81,0.65,2.36,0.11,2.25,1
snow,575,2.08,1.83,0.75,2.47,0.8,1.97,59
snuggle,404,2.92,1.24,-0.84,2.8,0.66,2.47,4
social,985,1.88,1.82,-0.02,2.59,0.91,2.07,380
soft,986,2.12,1.34,-0.37,2.61,1,1.8,61
solemn,405,-0.68,1.51,-1.44,1.95,-0.39,1.87,12
song,987,2.1,1.97,1.07,2.42,0.85,2.12,70
soothe,988,2.3,1.85,-0.6,3.08,0.36,2.24,2
sour,989,-1.07,1.98,0.1,1.95,-0.36,1.5,3
space,574,1.78,1.66,0.14,2.54,0.2,2.44,184
spanking,990,-1.45,2.54,0.41,2.73,-1.09,2.51,.
sphere,991,0.33,0.87,-1.12,1.99,0,0.92,22
spider,610,-1.67,1.72,0.71,2.21,-0.25,2.11,2
spirit,406,2,1.32,0.56,2.62,0.82,2.42,182
spouse,407,2.58,1.48,0.21,2.75,0.53,1.97,3
spray,992,0.45,1.63,-0.86,2.28,0.12,1.43,16
spring,993,2.76,1.51,0.67,2.51,1.26,1.98,127
square,408,-0.26,1.02,-1.82,1.76,-0.49,1.45,143
stagnant,994,-0.85,1.57,-1.07,1.94,-0.29,1.36,5
star,409,2.27,1.66,0.83,2.44,-0.32,2.15,25
startled,410,-0.5,1.67,1.93,2.24,-0.52,1.57,21
starving,611,-2.61,1.82,0.61,2.53,-1.37,2.1,6
statue,995,0.17,0.7,-1.54,1.72,-0.05,1.4,17
stench,996,-2.81,1.37,-0.64,2.46,-0.71,1.91,1
stiff,997,-0.32,1.97,-0.98,2.41,-0.07,2.04,21
stink,411,-2,1.79,-0.74,2.1,-0.84,1.98,3
stomach,998,-0.18,2.06,-1.07,2.49,-0.32,1.85,37
stool,999,-0.44,1.72,-1,2.14,-0.02,1.85,8
storm,1000,-0.05,2.22,0.71,2.34,-0.46,2.04,26
stove,1001,-0.02,1.69,-0.49,2.14,0.36,1.87,15
street,412,0.22,0.72,-1.61,1.87,-0.19,1.21,244
stress,413,-2.91,1.41,2.45,2.38,-1.07,2.75,107
strong,414,2.11,1.48,0.92,2.28,1.92,2.43,202
stupid,415,-2.69,1.37,-0.28,2.71,-2.02,2.18,24
subdued,416,-0.33,1.31,-2.1,1.81,-0.92,1.56,8
success,417,3.29,0.93,1.11,2.65,1.89,2.4,93
suffocate,418,-3.44,0.96,1.03,3.19,-1.56,2.81,1
sugar,1002,1.74,1.73,0.64,2.18,0.5,1.5,34
suicide,419,-3.75,0.69,0.73,3.14,-1.42,3.02,17
sun,532,2.55,1.85,0.04,2.66,1.16,2.09,112
sunlight,1003,2.76,1.43,1.1,2.3,0.63,2.15,17
sunrise,420,2.86,1.35,0.06,3.05,0.29,2.41,10
sunset,421,2.68,1.72,-0.8,2.99,0.66,2.08,14
surgery,612,-2.14,2.19,1.35,2.32,-2.25,1.86,6
surprised,422,2.47,1.56,2.47,2.09,1.11,2.19,58
suspicious,423,-1.24,1.42,1.25,1.59,-0.53,1.99,13
swamp,1004,0.14,2.24,-0.14,2.36,0.29,1.63,5
sweetheart,424,3.42,0.83,0.5,2.73,1.03,2.24,9
swift,1005,1.46,1.76,0.39,2.53,1.29,1.85,32
swimmer,576,1.54,1.64,-0.18,2.49,0.96,1.91,.
syphilis,425,-3.32,1.23,0.69,3.25,-1.67,2.67,.
table,426,0.22,0.72,-2.08,2.16,-0.53,1.66,198
talent,427,2.56,1.25,1.27,1.8,1.49,1.75,40
tamper,1006,-0.9,1.88,-0.05,2.01,-0.42,2.1,1
tank,613,0.16,1.87,-0.12,1.86,-0.22,1.93,12
taste,1007,1.66,1.57,0.22,2.38,0.5,1.65,59
taxi,1008,0,1.96,-1.59,2.14,-0.36,1.83,16
teacher,1009,0.68,2.12,-0.95,2.61,0.11,2.2,80
tease,1010,-0.16,2.51,0.87,2.56,-0.33,2.37,6
tender,1011,1.93,1.28,-0.12,2.3,0.33,1.75,11
tennis,540,1.02,1.97,-0.39,2.6,0.61,2.12,15
tense,428,-1.44,1.36,1.53,2.1,0.22,2.02,15
termite,429,-1.42,2.08,0.39,2.43,-1.13,1.87,.
terrible,430,-3.07,1.44,1.27,2.44,-1.42,2.34,45
terrific,431,3.16,1.12,1.23,2.73,1.6,2.15,5
terrified,432,-3.28,1.14,2.86,2.27,-1.92,2.75,7
terrorist,614,-3.31,1.42,2.27,2.38,-2.35,2.3,.
thankful,433,1.89,2.29,-0.66,2.31,0.32,2,6
theory,434,0.3,1.49,-0.38,1.94,-0.12,1.81,129
thermometer,1012,-0.27,1.05,-1.21,2.02,-0.61,1.51,.
thief,435,-2.87,1.69,1.89,2.13,-1.21,2.55,8
thorn,436,-1.36,1.76,0.14,2.14,-0.55,1.5,3
thought,1013,1.39,1.58,-0.17,2.46,1.02,1.7,515
thoughtful,437,2.65,1.03,0.72,2.3,0.61,2.11,11
thrill,438,3.05,1.48,3.02,1.65,1.54,2.3,5
tidy,1014,1.3,1.56,-1.02,2.22,0.49,1.93,1
time,439,0.31,2.02,-0.36,2.75,-0.37,2.24,1599
timid,440,-1.14,1.55,-0.89,2.09,-1.91,1.91,5
tobacco,441,-1.72,2.16,-0.17,2.9,-0.92,2.27,19
tomb,442,-2.06,1.88,-0.27,2.72,-1.28,2.05,11
tool,1015,0.19,1.27,-0.67,1.78,0.67,1.62,40
toothache,443,-3.02,1.15,0.55,2.51,-1.1,1.85,.
tornado,444,-2.45,1.78,1.83,2.49,-0.7,2.42,1
torture,445,-3.44,0.79,1.1,2.77,-1.67,2.37,3
tower,1016,0.46,1.75,-1.05,2.28,0.78,2.14,13
toxic,446,-2.9,1.48,1.4,2.41,-0.58,2.51,3
toy,1017,2,2.01,0.11,2.84,1.09,1.84,4
tragedy,447,-3.22,1.31,1.24,2.64,-1.5,2.34,49
traitor,448,-2.78,1.69,0.78,2.47,-0.39,2.71,2
trash,615,-2.33,1.45,-0.84,2.16,0.24,1.85,2
trauma,616,-2.9,1.49,1.33,2.45,-2.16,1.87,1
travel,1018,2.1,2,1.21,2.51,1.31,2.08,61
treasure,449,3.27,0.9,1.75,2.3,1.36,2.42,4
treat,1019,2.36,1.38,0.62,2.25,0.78,1.82,26
tree,450,1.32,1.56,-1.58,2.21,0.08,2.29,59
triumph,451,2.8,1.83,0.78,2.6,1.98,2.2,22
triumphant,452,3.82,0.73,1.78,2.58,1.95,2.55,5
trophy,453,2.78,1.22,0.39,2.44,1.44,2.32,8
trouble,454,-1.97,2.09,1.85,2.03,-0.15,2.39,134
troubled,455,-2.83,1.21,0.94,2.36,-1.09,2.33,31
truck,577,0.47,1.88,-0.16,2.17,0.33,1.83,57
trumpet,456,0.75,1.38,-0.03,2.13,-0.43,1.72,7
trunk,1020,0.09,1.57,-0.82,2.19,0.14,1.9,8
trust,457,1.68,2.71,0.3,2.66,1.61,2.04,52
truth,458,2.8,1.29,0,2.77,1.47,2.11,126
tumor,459,-2.64,2.04,1.51,2.85,-1.42,2.42,17
tune,1021,1.93,1.47,-0.29,2.09,0.74,1.82,10
twilight,1022,2.23,1.8,-0.3,2.41,0.59,1.82,4
ugly,460,-2.57,1.27,0.38,2.23,-0.74,2.33,21
ulcer,461,-3.22,1.17,1.12,2.68,-0.83,2.22,5
umbrella,578,0.16,1.57,-1.32,1.99,0.42,1.91,8
unfaithful,462,-2.95,1.55,1.2,2.7,-1.98,2.54,1
unhappy,463,-3.43,0.96,-0.82,2.5,-1.66,2.35,26
unit,1023,0.59,1.87,-1.25,2.49,0.11,1.74,103
untroubled,464,2.62,1.41,-1.11,2.54,0.53,2.54,.
upset,465,-3,1.18,0.86,2.4,-0.92,2.31,14
urine,617,-1.75,1.71,-0.8,2.18,0.24,1.86,1
useful,466,2.14,1.6,-0.74,2.47,0.93,2.1,58
useless,467,-2.87,1.42,-0.13,2.58,-1.08,2.62,17
utensil,1024,0.14,1.39,-1.43,1.98,0.4,1.47,.
vacation,468,3.16,1.36,0.64,2.99,1.8,2.08,47
vagina,1025,1.14,1.77,0.55,2.55,0.88,1.74,10
valentine,469,3.11,1.35,1.06,2.91,0.81,2.45,2
vampire,470,-0.74,1.86,1.37,2.35,0.05,2.27,1
vandal,471,-2.29,1.91,1.4,1.88,-1.09,2.49,1
vanity,472,-0.7,1.91,-0.02,2.31,-0.2,2.03,7
vehicle,473,1.27,2.34,-0.37,2.81,0.77,2.61,35
venom,474,-2.32,1.81,1.08,2.44,-1.06,2.23,2
vest,1026,0.25,1.33,-1.05,2.09,0.09,1.24,4
victim,618,-2.82,1.48,1.06,2.32,-2.31,2.04,27
victory,475,3.32,1.16,1.63,2.84,2.26,2.14,61
vigorous,476,1.79,1.54,0.9,2.66,0.41,2.22,29
village,477,0.92,1.34,-0.92,1.87,-0.06,1.74,72
violent,478,-2.71,1.78,1.89,2.47,0.16,2.86,33
violin,579,0.43,1.98,-1.51,2.26,0.18,2.01,11
virgin,1027,1.45,1.76,0.51,2.06,1.24,2.48,35
virtue,479,1.22,2.06,-0.48,2.52,1.13,2.09,30
vision,480,1.62,1.84,-0.34,2.43,1.02,1.96,56
volcano,619,-0.16,2.14,1.33,2.21,-1.75,1.97,2
vomit,481,-2.94,1.57,0.75,2.84,-1.42,2.45,3
voyage,1028,1.25,1.91,0.55,2.23,0.18,1.98,17
wagon,1029,0.37,0.97,-1.02,2.04,0.05,1.2,55
war,482,-2.92,1.91,2.49,2.16,-0.5,3,464
warmth,483,2.41,1.81,-1.27,2.4,0.61,1.67,28
wasp,484,-1.63,1.63,0.5,2.17,-1.24,1.82,2
waste,485,-2.07,1.76,-0.86,2.3,-0.28,1.94,35
watch,580,0.78,1.51,-0.9,2.12,0.37,1.75,81
water,486,1.61,1.78,-0.03,2.49,0.08,1.99,442
waterfall,487,2.88,1.03,0.37,2.84,0.2,2.18,2
wealthy,488,2.7,1.34,0.8,2.73,1.77,2.57,12
weapon,489,-1.03,1.92,1.03,1.89,0.19,2.61,42
weary,490,-1.21,2.12,-1.19,2.29,-1,1.91,17
wedding,491,2.82,1.56,0.97,2.85,1.68,2.08,32
whistle,1030,0.81,1.21,-0.31,1.99,0.27,1.87,4
white,542,1.47,1.59,-0.63,2.14,0.98,1.73,365
whore,492,-2.7,2.11,0.85,2.93,-0.39,2.73,2
wicked,493,-2.04,2.37,1.09,2.44,-0.64,2.65,9
wife,1031,1.33,1.97,-0.07,2.22,0.57,1.68,228
win,494,3.38,0.92,2.72,2.16,2.39,2.36,55
windmill,1032,0.6,1.65,-1.26,2.13,0.24,1.04,1
window,495,0.91,1.38,-1.03,2.01,-0.09,1.6,119
wine,496,0.95,2.19,-0.22,2.34,0.31,2.15,72
wink,1033,1.93,1.83,0.44,2.68,0.7,1.77,7
wise,497,2.52,1.23,-1.09,2.64,1.7,2.39,36
wish,1034,2.09,2,0.16,2.62,0.28,2.09,110
wit,1035,2.32,1.9,0.42,2.44,1.38,2.01,20
woman,498,1.64,1.76,0.32,2.59,1.33,1.52,224
wonder,499,1.03,1.58,0,2.23,0.32,2.17,67
world,500,1.5,2.03,0.32,2.39,0.26,2.47,787
wounds,620,-2.49,1.58,0.82,2.01,-1.08,1.57,8
writer,1036,0.52,1.9,-0.67,2.45,-0.27,1.84,73
yacht,1037,1.95,1.79,0.61,2.72,1.1,2.13,4
yellow,545,0.61,1.94,-0.57,2.05,0.47,1.58,55
young,1038,1.89,2.12,0.64,2.51,0.3,2.49,385
youth,1039,1.75,2.29,0.67,2.52,0.11,2.55,82
zest,1040,1.79,2.04,0.59,2.66,1,1.99,5
