word,num,valence,val.sd,arousal,arousal.sd,dominance,dominance.sd,freq
cow,554,0.57,1.53,-1.51,2.13,0.32,1.61,29
coward,703,-2.26,1.64,-0.93,2.19,-2.17,1.61,8
cozy,88,2.39,1.53,-1.68,2.28,-0.11,2.28,1
crash,89,-2.69,1.44,1.95,2.44,-1.56,2.21,20
crime,704,-2.11,2.06,0.41,2.69,-0.88,2.24,34
criminal,705,-2.07,1.66,-0.21,2.51,-1.66,1.73,24
crisis,706,-2.26,2.23,0.44,3.07,-1.4,2.47,82
crown,90,1.58,1.42,-0.72,2.53,1.06,2.15,19
crucify,91,-2.77,1.72,1.47,2.47,-1.26,2.48,2
crude,707,-1.88,1.65,0.07,2.37,-0.73,1.94,15
cruel,92,-3.03,1.67,0.68,2.65,-0.76,2.84,15
crushed,93,-2.79,1.74,0.52,2.87,-1.64,2.69,10
crutch,708,-1.57,1.62,-0.86,2.05,-1.09,1.79,1
cuddle,94,2.72,1.92,-0.6,2.67,0.85,2.42,.
cuisine,709,1.64,1.48,-0.61,1.99,0.41,1.19,1
curious,95,1.08,1.63,0.82,1.64,0.42,1.6,46
curtains,710,-0.17,0.83,-1.33,1.83,0.05,1.56,8
custom,96,0.85,1.53,-0.34,2.12,0,1.87,14
cut,711,-1.36,2.08,0,2.32,-0.3,1.98,192
cute,97,2.62,1.01,0.53,2.71,-0.14,2.32,5
cyclone,98,-1.4,2.38,1.36,2.89,-0.11,2.56,.
dagger,99,-1.62,1.77,1.14,2.64,-0.48,2.27,1
damage,712,-1.95,1.65,0.57,2.26,-1.12,1.86,33
dancer,507,2.14,1.56,1,2.2,1.02,1.93,31
danger,713,-2.05,2.22,2.32,2.07,-1.41,2.31,70
dark,714,-0.29,2.36,-0.72,2.21,-0.16,2.15,185
dawn,715,1.16,2.33,-0.61,2.81,0.16,2.23,28
daylight,716,1.8,2.17,-0.23,2.5,0.48,2.14,15
dazzle,717,2.29,1.09,1.33,2.02,0.62,1.81,1
dead,588,-3.06,1.76,0.73,2.73,-2.16,2.32,174
death,100,-3.39,1.4,-0.41,3.07,-1.53,2.5,277
debt,101,-2.78,1.17,0.68,2.74,-1.98,2.16,13
deceit,718,-2.1,1.63,0.68,2.46,-1.05,2.12,2
decompose,102,-1.8,1.81,-0.35,2.39,-0.98,1.91,1
decorate,719,1.93,1.3,0.14,2.39,1.05,1.86,2
defeated,103,-2.66,1.66,0.09,3,-1.89,2.34,15
defiant,104,-0.74,2.12,1.1,2.51,0.77,2.4,3
deformed,720,-2.59,1.66,-0.93,2.34,-1.05,2.18,.
delayed,721,-1.93,1.74,0.62,2.39,-1.36,1.94,25
delight,105,3.26,1.04,0.44,2.88,0.79,2.24,29
demon,106,-2.89,1.56,1.76,2.68,-0.11,2.89,9
dentist,589,-0.98,2.23,0.73,2.13,-1.2,2.16,12
depressed,107,-3.17,1.42,-0.28,2.95,-2.26,2.13,11
depression,108,-3.15,1.67,-0.46,3.19,-2.09,2.27,24
